00VD               20071108                                                                                   
0601VDB0+       20080101000390100000005000 0000001572100403   
0601VDB0+       20080101000395100000005000 0000001663300421   
0601VDB0+       20080101000400100000005000 0000001752400438   
0601VDB0+       20080101000405100000005000 0000001843200455   
0601VDB0+       20080101000410100000005000 0000001931500471   
0601VDB0+       20080101000415100000005000 0000002046400493   
0601VDB0+       20080101000420100000005000 0000002163500515   
0601VDB0+       20080101000425100000005000 0000002265700533   
0601VDB0+       20080101000430100000005000 0000002369800551   
0601VDB0+       20080101000435100000005000 0000002497400574   
0601VDB0+       20080101000440100000005000 0000002596500590   
0601VDB0+       20080101000445100000005000 0000002706200608   
0601VDB0+       20080101000450100000005000 0000002804100623   
0601VDB0+       20080101000455100000005000 0000002921700642   
0601VDB0+       20080101000460100000005000 0000003045800662   
0601VDB0+       20080101000465100000005000 0000003144000676   
0601VDB0+       20080101000470100000005000 0000003253000692   
0601VDB0+       20080101000475100000005000 0000003354200706   
0601VDB0+       20080101000480100000005000 0000003475900724   
0601VDB0+       20080101000485100000005000 0000003584800739   
0601VDB0+       20080101000490100000005000 0000003685500752   
0601VDB0+       20080101000495100000005000 0000003802300768   
0601VDB0+       20080101000500100000005000 0000003900700780   
0601VDB0+       20080101000505100000005000 0000004040800800   
0601VDB0+       20080101000510100000005000 0000004162400816   
0601VDB0+       20080101000515100000005000 0000004275300830   
0601VDB0+       20080101000520100000005000 0000004400000846   
0601VDB0+       20080101000525100000005000 0000004542100865   
