00SH               20081219                                                                                   
0601SHA0d       20090101002550100000005000 0000065730002575   
0601SHA0d       20090101002555100000005000 0000065870002576   
0601SHA0d       20090101002560100000005000 0000066040002577   
0601SHA0d       20090101002565100000005000 0000066180002578   
0601SHA0d       20090101002570100000005000 0000066360002580   
0601SHA0d       20090101002575100000005000 0000066500002580   
0601SHA0d       20090101002580100000005000 0000066640002580   
0601SHA0d       20090101002585100000005000 0000066810002582   
0601SHA0d       20090101002590100000005000 0000066950002582   
0601SHA0d       20090101002595100000005000 0000067100002583   
0601SHA0d       20090101002600100000005000 0000067270002585   
0601SHA0d       20090101002605100000005000 0000067410002585   
0601SHA0d       20090101002610100000005000 0000067580002587   
0601SHA0d       20090101002615100000005000 0000067720002587   
0601SHA0d       20090101002620100000005000 0000067870002588   
0601SHA0d       20090101002625100000005000 0000068040002590   
0601SHA0d       20090101002630100000005000 0000068180002590   
0601SHA0d       20090101002635100000005000 0000068320002590   
0601SHA0d       20090101002640100000005000 0000068490002592   
0601SHA0d       20090101002645100000005000 0000068640002593   
0601SHA0d       20090101002650100000005000 0000068780002593   
0601SHA0d       20090101002655100000005000 0000068950002595   
0601SHA0d       20090101002660100000005000 0000069090002595   
0601SHA0d       20090101002665100000005000 0000069260002596   
0601SHA0d       20090101002670100000005000 0000069410002597   
0601SHA0d       20090101002675100000005000 0000069550002598   
0601SHA0d       20090101002680100000005000 0000069720002599   
0601SHA0d       20090101002685100000005000 0000069860002599   
0601SHA0d       20090101002690100000005000 0000070000002600   
0601SHA0d       20090101002695100000005000 0000070170002601   
0601SHA0d       20090101002700100000005000 0000070320002602   
