00OW               20081103                                                                                   
0601OWA1d       20090101000890100000005000 0100009870001106   
0601OWA1d       20090101000895100000005000 0100009950001109   
0601OWA1d       20090101000900100000005000 0100010030001111   
0601OWA1d       20090101000905100000005000 0100010110001114   
0601OWA1d       20090101000910100000005000 0100010210001119   
0601OWA1d       20090101000915100000005000 0100010290001122   
0601OWA1d       20090101000920100000005000 0100010370001124   
0601OWA1d       20090101000925100000005000 0100010450001127   
0601OWA1d       20090101000930100000005000 0100010550001131   
0601OWA1d       20090101000935100000005000 0100010630001134   
0601OWA1d       20090101000940100000005000 0100010710001136   
0601OWA1d       20090101000945100000005000 0100010790001139   
0601OWA1d       20090101000950100000005000 0100010880001142   
0601OWA1d       20090101000955100000005000 0100010970001146   
0601OWA1d       20090101000960100000005000 0100011050001148   
0601OWA1d       20090101000965100000005000 0100011130001150   
0601OWA1d       20090101000970100000005000 0100011220001154   
0601OWA1d       20090101000975100000005000 0100011310001157   
0601OWA1d       20090101000980100000005000 0100011390001159   
0601OWA1d       20090101000985100000005000 0100011470001162   
0601OWA1d       20090101000990100000005000 0100011560001165   
0601OWA1d       20090101000995100000005000 0100011640001167   
0601OWA1d       20090101001000100000005000 0100011740001171   
0601OWA1d       20090101001005100000005000 0100011820001173   
0601OWA1d       20090101001010100000005000 0100011910001176   
0601OWA1d       20090101001015100000005000 0100012000001179   
0601OWA1d       20090101001020100000005000 0100012100001183   
0601OWA1d       20090101001025100000005000 0100012190001186   
0601OWA1d       20090101001030100000005000 0100012280001189   
0601OWA1d       20090101001035100000005000 0100012370001192   
0601OWA1d       20090101001040100000005000 0100012470001196   
0601OWA1d       20090101001045100000005000 0100012570001200   
0601OWA1d       20090101001050100000005000 0100012660001203   
0601OWA1d       20090101001055100000005000 0100012750001206   
0601OWA1d       20090101001060100000005000 0100012850001209   
0601OWA1d       20090101001065100000005000 0100012950001213   
0601OWA1d       20090101001070100000005000 0100013040001216   
0601OWA1d       20090101001075100000005000 0100013140001219   
0601OWA1d       20090101001080100000005000 0100013230001222   
0601OWA1d       20090101001085100000005000 0100013330001226   
0601OWA1d       20090101001090100000005000 0100013430001229   
0601OWA1d       20090101001095100000005000 0100013520001232   
0601OWA1d       20090101001100100000005000 0100013630001236   
0601OWA1d       20090101001105100000005000 0100013720001239   
0601OWA1d       20090101001110100000005000 0100013810001241   
0601OWA1d       20090101001115100000005000 0100013920001246   
0601OWA1d       20090101001120100000005000 0100014010001248   
0601OWA1d       20090101001125100000005000 0100014120001252   
0601OWA1d       20090101001130100000005000 0100014210001255   
0601OWA1d       20090101001135100000005000 0100014300001257   
0601OWA1d       20090101001140100000005000 0100014410001261   
0601OWA1d       20090101001145100000005000 0100014500001264   
0601OWA1d       20090101001150100000005000 0100014590001266   
0601OWA1d       20090101001155100000005000 0100014700001270   
0601OWA1d       20090101001160100000005000 0100014790001272   
0601OWA1d       20090101001165100000005000 0100014880001275   
0601OWA1d       20090101001170100000005000 0100014990001278   
0601OWA1d       20090101001175100000005000 0100015080001281   
0601OWA1d       20090101001180100000005000 0100015190001285   
0601OWA1d       20090101001185100000005000 0100015280001287   
0601OWA1d       20090101001190100000005000 0100015370001289   
0601OWA1d       20090101001195100000005000 0100015480001293   
0601OWA1d       20090101001200100000005000 0100015570001295   
0601OWA1d       20090101001205100000005000 0100015660001297   
0601OWA1d       20090101001210100000005000 0100015770001301   
0601OWA1d       20090101001215100000005000 0100015860001303   
0601OWA1d       20090101001220100000005000 0100015950001305   
0601OWA1d       20090101001225100000005000 0100016060001308   
0601OWA1d       20090101001230100000005000 0100016150001310   
