00TG               20081204                                                                                   
0601TGA1+       20090101000805100000005000 0100010700001325   
0601TGA1+       20090101000810100000005000 0100010820001332   
0601TGA1+       20090101000815100000005000 0100010940001338   
0601TGA1+       20090101000820100000005000 0100011050001343   
0601TGA1+       20090101000825100000005000 0100011170001350   
0601TGA1+       20090101000830100000005000 0100011290001356   
0601TGA1+       20090101000835100000005000 0100011410001362   
0601TGA1+       20090101000840100000005000 0100011540001370   
0601TGA1+       20090101000845100000005000 0100011660001376   
0601TGA1+       20090101000850100000005000 0100011780001382   
0601TGA1+       20090101000855100000005000 0100011910001389   
0601TGA1+       20090101000860100000005000 0100012010001392   
0601TGA1+       20090101000865100000005000 0100012140001399   
0601TGA1+       20090101000870100000005000 0100012290001409   
0601TGA1+       20090101000875100000005000 0100012410001414   
0601TGA1+       20090101000880100000005000 0100012540001421   
0601TGA1+       20090101000885100000005000 0100012660001426   
